seed,rooms_placed,rooms_target,mst_edges_total,mst_edges_success,extra_edges_total,extra_edges_success,astar_path_avg_length,astar_path_min_length,astar_path_max_length,contradictions,wfc_iterations,connectivity_complete,reachable_cells_count,empty_cells_count,corridor_cells_count,room_cells_count,dungeon_density,dead_end_count,branch_count,generation_success,ms_place_rooms,ms_connect_corridors,ms_wfc_fill,ms_total
342066795,20,20,19,19,3,3,6.36,2,26,0,3,1,400,286,92,22,0.285,1,18,1,218.41,1599.43,29.95,1849.11
1095722601,20,20,19,11,3,2,5.46,2,10,0,4,0,400,326,51,23,0.185,1,7,0,195.45,929.18,40.19,1166.47
1957176862,20,20,19,19,2,2,5.00,1,16,0,6,1,400,297,80,23,0.258,3,15,1,196.56,1260.13,59.72,1517.87
360078978,20,20,19,18,3,2,6.10,2,20,0,10,0,400,287,89,24,0.283,6,18,0,196.58,1459.82,99.90,1757.58
1767538327,20,20,19,19,3,3,5.14,2,10,0,8,1,400,298,78,24,0.255,4,14,1,196.76,1350.77,79.45,1628.24
2125848622,20,20,19,19,3,3,6.41,1,24,0,8,1,400,288,88,24,0.280,3,19,1,196.63,1630.13,79.99,1908.02
1482565719,20,20,19,16,2,2,4.83,1,16,0,6,0,400,300,77,23,0.250,3,10,0,196.69,1080.44,59.86,1338.23
332666642,20,20,19,17,3,2,5.74,2,12,0,6,0,400,308,68,24,0.230,2,15,0,196.71,1310.35,60.85,1569.13
1988003566,20,20,19,19,2,2,4.81,1,14,0,7,1,400,309,68,23,0.228,4,18,1,195.83,1219.69,69.99,1486.79
2001629700,20,20,19,16,3,2,5.00,2,19,0,9,0,400,308,68,24,0.230,5,15,0,195.67,1122.32,91.23,1410.55
1963010253,20,20,19,19,3,3,4.59,2,17,0,6,1,400,300,79,21,0.250,5,14,1,193.61,1230.04,59.53,1484.45
1469549206,20,20,19,19,3,3,5.09,1,15,0,5,1,400,294,83,23,0.265,2,20,1,196.56,1340.75,50.34,1588.92
1292863668,20,20,19,19,3,3,4.91,1,14,0,6,1,400,293,82,25,0.268,1,17,1,196.28,1299.77,60.53,1557.83
560836453,20,20,19,19,3,3,5.77,1,22,0,5,1,400,308,69,23,0.230,2,23,1,196.64,1489.65,50.34,1737.88
1743161511,20,20,19,19,3,3,5.09,2,12,0,4,1,400,299,78,23,0.253,1,15,1,196.66,1339.51,40.14,1577.57
383857734,20,20,19,19,3,3,5.95,1,19,0,7,1,400,303,74,23,0.243,4,18,1,196.45,1530.23,70.18,1798.13
523400619,20,20,19,17,2,1,4.11,1,9,0,5,0,400,318,59,23,0.205,2,11,0,199.13,947.07,50.16,1197.63
1987459497,20,20,19,19,3,3,6.14,2,21,0,6,1,400,287,90,23,0.283,3,22,1,196.53,1570.71,59.46,1827.97
564778241,20,20,19,19,2,2,5.33,1,12,0,6,1,400,310,65,25,0.225,1,14,1,196.65,1330.04,60.02,1587.96
125562815,20,20,19,17,2,1,4.56,1,16,0,8,0,400,311,64,25,0.223,1,17,0,196.79,1029.87,80.03,1307.94
1716295967,20,20,19,17,3,3,6.20,1,13,0,8,0,400,288,89,23,0.280,5,18,0,196.56,1460.29,80.62,1738.74
709920280,20,20,19,19,3,3,5.73,3,18,0,6,1,400,282,94,24,0.295,2,19,1,196.46,1479.84,60.64,1738.20
979178872,20,20,19,19,3,3,5.41,2,17,0,8,1,400,293,84,23,0.268,5,21,1,196.63,1409.22,79.92,1687.05
1654142978,20,20,19,19,3,3,5.32,1,14,0,6,1,400,296,79,25,0.260,1,19,1,196.59,1390.22,60.04,1648.13
313999217,20,20,19,19,3,3,5.23,1,21,0,5,1,400,298,77,25,0.255,0,15,1,196.48,1370.30,50.46,1618.59
2061945254,20,20,19,19,3,3,4.86,1,19,0,10,1,400,298,77,25,0.255,5,16,1,196.49,1289.32,99.96,1587.09
551376705,20,20,19,19,3,3,6.23,2,18,0,7,1,400,296,80,24,0.260,3,16,1,196.91,1590.10,69.94,1858.21
114057430,20,20,19,18,2,1,5.47,1,20,0,6,0,400,295,79,26,0.263,0,15,0,196.75,1250.61,59.62,1508.23
1687766437,20,20,19,19,2,2,4.62,1,19,0,6,1,400,309,70,21,0.228,5,12,1,196.58,1180.43,59.80,1438.09
1411296130,20,20,19,19,2,2,4.48,1,12,0,5,1,400,306,71,23,0.235,2,15,1,196.61,1149.62,50.55,1398.04
354016120,20,20,19,19,3,3,4.55,2,17,0,5,1,400,314,64,22,0.215,3,16,1,196.49,1219.91,50.62,1468.46
1968982181,20,20,19,19,2,2,5.67,1,15,0,4,1,400,295,84,21,0.263,3,16,1,196.51,1400.21,40.71,1638.74
1846794602,20,20,19,19,2,2,4.76,1,14,0,6,1,400,309,67,24,0.228,2,12,1,196.02,1209.34,64.90,1471.46
1389498445,20,20,19,18,3,3,5.48,1,11,0,6,0,400,296,83,21,0.260,5,16,0,191.37,1370.21,60.62,1623.52
529241081,20,20,19,16,1,0,4.44,1,10,0,7,0,400,317,61,22,0.208,5,8,0,197.45,909.21,69.60,1177.50
1779884980,20,20,19,19,3,3,5.64,2,15,0,6,1,400,299,79,22,0.253,4,17,1,196.74,1460.17,63.18,1721.34
1496470164,20,20,19,19,2,2,5.19,1,21,0,8,1,400,302,75,23,0.245,5,15,1,193.77,1299.92,79.62,1574.62
893129927,20,20,19,19,2,2,4.86,1,16,0,8,1,400,303,73,24,0.243,4,15,1,196.10,1230.37,80.51,1508.59
2069124873,20,20,19,19,1,1,5.85,1,15,0,7,1,400,297,80,23,0.258,4,15,1,196.51,1370.46,69.85,1638.09
578757039,20,20,19,19,2,2,5.43,1,18,0,6,1,400,298,78,24,0.255,2,17,1,196.47,1349.27,60.79,1607.80
764937287,20,20,19,19,3,3,4.55,1,16,0,4,1,400,305,73,22,0.238,2,11,1,196.53,1220.22,39.95,1457.92
1011989100,20,20,19,19,2,2,6.19,2,24,0,8,1,400,285,91,24,0.288,4,18,1,196.64,1509.60,80.53,1788.05
756168492,20,20,19,19,3,3,5.32,1,19,0,6,1,400,304,70,26,0.240,0,18,1,196.56,1389.37,60.01,1647.20
1938717014,20,20,19,19,3,3,5.59,1,20,0,6,1,400,305,70,25,0.238,1,15,1,196.71,1450.78,59.55,1708.30
512915813,20,20,19,17,3,3,7.00,1,26,0,7,0,400,286,89,25,0.285,2,22,0,196.69,1620.13,70.08,1888.14
684543669,20,20,19,19,3,3,5.91,1,21,0,7,1,400,292,82,26,0.270,1,16,1,196.56,1520.40,70.07,1788.32
972927255,20,20,19,19,3,3,6.00,2,21,0,5,1,400,296,81,23,0.260,2,21,1,196.47,1539.71,50.87,1788.32
1891777990,20,20,19,19,3,3,5.41,1,19,0,6,1,400,291,87,22,0.273,4,13,1,196.61,1409.95,59.90,1667.74
683317526,20,20,19,19,3,3,4.68,2,11,0,3,1,400,297,82,21,0.258,2,12,1,197.50,1251.09,27.42,1477.22
538991913,20,20,19,15,2,2,5.47,3,14,0,5,0,400,301,76,23,0.248,2,10,0,196.69,1139.99,50.59,1388.54
792772167,20,20,19,19,2,2,4.43,1,11,0,4,1,400,315,63,22,0.213,2,15,1,196.60,1140.20,39.59,1377.66
803002797,20,20,19,19,2,2,4.95,2,17,0,4,1,400,299,80,21,0.253,3,17,1,196.65,1250.60,40.19,1488.71
38211434,20,20,19,19,3,3,6.23,1,26,0,6,1,400,295,82,23,0.263,3,23,1,196.63,1589.25,59.91,1847.10
465855779,20,20,19,19,3,3,5.14,1,22,0,7,1,400,302,74,24,0.245,3,20,1,196.58,1350.96,69.91,1618.74
1188266813,20,20,19,19,3,3,4.59,1,14,0,5,1,400,299,78,23,0.253,2,15,1,196.54,1230.33,49.34,1477.51
1191742061,20,20,19,15,2,1,4.75,3,7,0,7,0,400,313,64,23,0.218,4,11,0,196.70,970.16,70.00,1238.11
1676139275,20,20,19,16,3,3,6.05,1,18,0,7,0,400,303,71,26,0.243,1,20,0,196.66,1370.20,70.34,1638.47
1862629430,20,20,19,19,2,2,5.00,1,11,0,8,1,400,303,75,22,0.243,6,14,1,196.25,1259.58,80.57,1537.87
1605675307,20,20,19,19,3,3,5.41,1,16,0,7,1,400,294,84,22,0.265,5,19,1,196.62,1409.72,69.93,1677.55
1265188619,20,20,19,17,3,3,5.75,1,19,0,7,0,400,297,79,24,0.258,3,19,0,196.54,1370.14,70.30,1638.24
986583816,20,20,19,19,2,2,5.10,1,21,0,4,1,400,299,79,22,0.253,2,16,1,196.55,1280.27,39.40,1517.49
780620188,20,20,19,19,3,3,5.68,2,26,0,7,1,400,295,81,24,0.263,3,18,1,196.49,1470.30,69.95,1738.06
204495751,20,20,19,19,3,3,4.86,1,11,0,6,1,400,298,78,24,0.255,2,16,1,196.83,1290.55,60.28,1548.99
2136302982,20,20,19,19,2,2,5.71,1,26,0,4,1,400,302,76,22,0.245,2,17,1,197.27,1408.36,39.94,1646.83
1059725479,20,20,19,19,3,3,5.91,1,21,0,5,1,400,302,75,23,0.245,2,19,1,197.46,1519.90,49.52,1768.15
1553623618,20,20,19,17,2,2,5.32,1,12,0,5,0,400,305,75,20,0.238,5,11,0,196.72,1220.62,49.52,1468.12
1182350150,20,20,19,17,3,2,5.89,2,20,0,7,0,400,307,71,22,0.233,5,20,0,196.62,1340.61,70.21,1608.80
1462960769,20,20,19,19,2,2,4.81,1,10,0,6,1,400,296,80,24,0.260,2,15,1,196.59,1219.14,60.06,1477.09
1591190918,20,20,19,19,3,3,6.68,1,26,0,5,1,400,285,91,24,0.288,1,15,1,196.51,1690.87,49.41,1938.09
1522872077,20,20,19,13,3,2,5.60,2,17,0,11,0,400,314,63,23,0.215,8,9,0,196.85,1059.93,110.02,1368.07
446983116,20,20,19,17,3,3,5.95,2,26,0,6,0,400,301,75,24,0.248,2,16,0,196.35,1410.46,59.93,1668.10
1189866238,20,20,19,19,1,1,4.60,1,16,0,11,1,400,309,66,25,0.228,6,13,1,196.51,1119.59,110.01,1427.42
1477930170,20,20,19,19,3,3,5.09,2,17,0,7,1,400,307,67,26,0.233,1,16,1,197.40,1340.04,70.05,1608.76
1545616748,20,20,19,19,3,3,5.55,2,23,0,9,1,400,298,79,23,0.255,6,23,1,196.64,1439.65,90.85,1728.44
920221074,20,20,19,19,3,3,5.45,1,25,0,7,1,400,299,78,23,0.253,4,23,1,196.44,1419.00,70.07,1686.79
116418766,20,20,19,19,2,2,5.62,2,11,0,10,1,400,295,81,24,0.263,6,15,1,196.55,1390.29,99.94,1688.07
1513347334,20,20,19,17,3,3,5.00,1,13,0,10,0,400,315,58,27,0.213,3,16,0,196.65,1220.91,100.08,1518.96
600057404,20,20,19,19,2,2,4.33,1,8,0,5,1,400,313,64,23,0.218,2,13,1,196.56,1119.42,50.78,1368.02
553339064,20,20,19,19,3,3,5.64,1,18,0,8,1,400,295,78,27,0.263,1,18,1,196.54,1459.78,79.32,1736.93
1189051094,20,20,19,19,3,3,6.00,1,22,0,5,1,400,289,88,23,0.278,2,19,1,196.66,1540.37,50.53,1788.85
501129898,20,20,19,19,2,2,4.86,2,9,0,8,1,400,300,75,25,0.250,3,18,1,196.85,1229.76,79.60,1507.50
219194261,20,20,19,16,3,2,6.11,1,24,0,6,0,400,299,79,22,0.253,4,15,0,196.54,1323.37,56.38,1577.58
990335450,20,20,19,19,2,2,5.38,2,22,0,6,1,400,296,81,23,0.260,3,14,1,196.75,1340.03,60.02,1598.07
560886423,20,20,19,17,3,3,5.90,1,21,0,9,0,400,306,69,25,0.235,4,19,0,196.73,1400.10,90.08,1688.20
30635862,20,20,19,19,3,3,4.73,1,13,0,7,1,400,298,78,24,0.255,3,16,1,196.62,1260.82,69.94,1528.66
1110608869,20,20,19,19,3,3,5.91,1,24,0,5,1,400,285,92,23,0.288,2,19,1,197.27,1518.72,49.92,1767.20
1342882646,20,20,19,19,2,2,5.10,1,13,0,9,1,400,302,73,25,0.245,3,16,1,196.58,1280.24,89.99,1568.14
793050722,20,20,19,19,3,3,6.86,1,23,0,5,1,400,290,86,24,0.275,1,17,1,196.71,1730.23,50.37,1978.57
1760827178,20,20,19,19,3,3,5.86,2,28,0,7,1,400,297,80,23,0.258,4,22,1,196.15,1510.48,69.60,1777.52
897094566,20,20,19,17,3,2,5.11,1,11,0,5,0,400,312,64,24,0.220,1,14,0,196.23,1190.61,49.78,1437.90
1663341251,20,20,19,18,3,3,6.10,1,20,0,4,0,400,290,87,23,0.275,1,19,0,196.50,1500.29,40.05,1738.08
1193436280,20,20,19,19,1,1,4.25,1,10,0,5,1,400,312,66,22,0.220,3,12,1,196.50,1050.57,51.67,1299.99
847050166,20,20,19,19,3,3,5.09,1,12,0,6,1,400,299,77,24,0.253,2,13,1,195.06,1338.33,59.96,1595.01
216048153,20,20,19,19,2,2,5.57,3,14,0,8,1,400,289,86,25,0.278,3,18,1,196.76,1380.82,79.48,1658.30
1151768769,20,20,19,19,2,2,5.76,1,19,0,6,1,400,290,87,23,0.275,3,17,1,196.44,1420.90,60.64,1679.23
1543912645,20,20,19,19,3,3,5.36,1,23,0,7,1,400,289,87,24,0.278,3,16,1,199.32,1395.92,70.30,1666.82
219605248,20,20,19,19,2,2,4.76,1,13,0,7,1,400,304,72,24,0.240,3,17,1,196.61,1210.36,69.50,1477.70
179461056,20,20,19,19,3,3,5.41,1,20,0,10,1,400,307,66,27,0.233,3,13,1,196.42,1410.25,102.10,1710.18
291103434,20,20,19,19,3,3,5.14,1,15,0,6,1,400,300,77,23,0.250,3,16,1,194.33,1350.63,60.05,1606.31
518887741,20,20,19,17,3,2,5.63,1,14,0,3,0,400,304,74,22,0.240,1,15,0,196.16,1289.98,29.99,1517.40
